misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,10080,200,-18.10737589,1.4188512682914733,-0.004128505103290081,13.317364692687988
40,19680,200,-17.50623212,1.4186055421829225,-0.006358805671334266,3.365725040435791
60,29280,200,-18.026156770000004,1.4180868268013,-0.003246559202671051,9.057545614242553
80,38880,199,-17.53289114,1.4171196937561035,-0.004858724772930145,5.211454248428344
100,48480,199,-17.674442589999998,1.4163183331489564,0.0016995802521705627,17.77908797264099
120,58080,198,-16.94083527,1.4152279496192932,-0.0015786251053214074,2.5152865648269653
140,67680,198,-16.38813107,1.4146203517913818,0.011502473056316376,16.221603107452392
160,77280,198,-17.895486329999997,1.4146677017211915,-0.004052857961505651,4.140555953979492
180,86880,198,-16.5450285,1.4135084867477417,-0.001528698205947876,6.0996134877204895
200,96480,198,-16.53842073,1.4133984208106996,-0.0029867127537727355,6.150459164381028
220,106080,198,-15.91884112,1.4128401637077332,-0.0018766924738883972,1.265395748615265
240,115680,199,-15.752025369999997,1.412364947795868,-0.00203389897942543,2.8364684849977495
260,125280,199,-12.693250740000002,1.4119812726974488,0.0003899984061717987,1.0690136954188347
280,134880,199,-11.13370502,1.4126021265983582,-0.005938483029603958,0.6542881429195404
300,144480,199,-12.068937149999996,1.412417435646057,0.01370597705245018,2.684844559431076
320,154080,199,-11.15377247,1.411217176914215,-0.0003087237477302551,0.2807216465473175
340,163680,199,-9.708111899999999,1.4119725704193116,-0.006298181600868702,0.5203961595892906
360,173280,199,-11.654837200000001,1.4114870190620423,0.0004413232847582549,1.3922854661941528
380,182880,199,-11.917323110000002,1.4096667051315308,-0.002490903437137604,0.36474001631140707
400,192480,199,-10.50164514,1.4094520807266235,0.004299677908420563,1.9446022659540176
420,202080,199,-12.18216626,1.4087010622024536,-0.004596868716180325,0.22781680896878242
440,211680,199,-11.012977880000003,1.408194935321808,0.000697866827249527,0.8065833061933517
460,221280,199,-11.26422553,1.4081243395805358,0.01810288280248642,5.816308826208115
480,230880,199,-11.355802930000003,1.4076194167137146,0.00037467959336936476,0.4695807218551636
500,240480,199,-8.47409662,1.4073022484779358,0.014031721279025078,3.885994392633438
520,250080,199,-9.426248099999999,1.4069484233856202,0.005804347060620785,2.1706391274929047
540,259680,199,-12.61362394,1.4052779912948608,0.0030067323707044123,2.1873336404562
560,269280,200,-9.615107230000001,1.405544602870941,-0.003219912014901638,2.4493012011051176
580,278880,199,-11.729593620000001,1.405567455291748,0.0002341184765100479,1.4680400669574738
600,288480,199,-12.346743519999997,1.4060020804405213,0.0036518149077892303,3.3197538793087005
620,298080,199,-8.882448590000001,1.4060846328735352,0.012644040834857151,2.96725153028965
640,307680,199,-10.492743410000001,1.4065490245819092,-0.005326411552960053,1.3899860292673112
660,317280,199,-12.591241100000001,1.4065375089645387,0.0023797490168362854,8.13396623134613
680,326880,199,-13.441817200000003,1.4064635515213013,0.0003376469016075134,2.8311557471752167
700,336480,199,-13.74774022,1.4064861416816712,0.05289852060377598,6.020765192806721
720,346080,199,-12.510771649999999,1.4067285656929016,-0.0036049833055585624,1.0666853070259095
740,355680,199,-12.457672509999998,1.405771505832672,0.00515730232000351,9.757222980260849
760,365280,199,-8.90342355,1.4051194190979004,-0.0031004211865365504,7.912237852811813
780,374880,199,-9.23359228,1.4035351872444153,4.202984273433685e-05,10.264806607365609
800,384480,199,-9.526682990000001,1.403143846988678,-0.004126103967428208,0.7696717768907547
820,394080,199,-9.41931301,1.4023404359817504,0.0027124498039484022,9.248003327846527
840,403680,199,-11.55589692,1.4019688367843628,-0.004124586423859,7.678938333690167
860,413280,199,-9.17430946,1.4026259422302245,-0.004699068889021873,3.3425811558961867
880,422880,198,-8.338786579999999,1.403424608707428,-0.0017662845551967622,4.486482644081116
900,432480,198,-8.30386325,1.4037597060203553,-0.0003217770718038082,3.436494675278664
920,442080,198,-12.86226313,1.4034165143966675,-0.0026627346873283387,0.6084779769182205
940,451680,198,-9.618332500000001,1.4035778760910034,0.005275055393576622,1.0611473813652992
960,461280,198,-8.56358869,1.4040707349777222,0.00756714791059494,7.24547270834446
980,470880,198,-5.505512089999999,1.4027864575386046,0.009900084929540753,6.13946073949337
1000,480480,198,-6.8280476,1.4031829118728638,-0.0006538290530443191,1.590245822072029
1020,490080,198,-7.547732560000001,1.4032233119010926,-0.0019916556775569916,3.838648396730423
1040,499680,198,-9.403871380000002,1.4038286685943604,-0.004815038666129113,1.7100706219673156
1060,509280,198,-10.88866139,1.403598713874817,0.005631266161799431,8.104377913475037
1080,518880,198,-9.48209703,1.4041410565376282,0.00038555525243282317,3.4165772080421446
1100,528480,198,-10.491869580000003,1.4040443181991578,-0.00010857433080673218,0.4848448172211647
1120,538080,198,-11.59365613,1.4042583346366881,-0.0010061167180538178,4.153614139556884
1140,547680,198,-8.90895485,1.404706072807312,-0.001991267502307892,9.182616639137269
1160,557280,198,-10.603821830000005,1.4050771117210388,0.005634002760052681,10.828765916824342
1180,566880,197,-9.634765589999999,1.4031888842582703,0.0006339997053146362,3.8280147165060043
1200,576480,197,-8.33930402,1.401870334148407,-0.0024318093433976173,14.271217459440232
1220,586080,197,-10.333682680000003,1.4012804269790649,0.0002876348793506622,6.579023812711239
1240,595680,197,-10.739553550000004,1.4011288166046143,-0.002964792400598526,0.5849259987473487
1260,605280,197,-9.52377717,1.3998488903045654,-0.000463789701461792,1.8810563489794732
1280,614880,197,-6.717826459999999,1.3999900937080383,0.0011374473571777344,7.294983816146851
1300,624480,197,-5.13280803,1.3998501539230346,0.004602381866425276,3.9873151004314424
1320,634080,197,-7.3318219,1.399705457687378,-0.002593376254662871,6.925306323170662
1340,643680,197,-9.53778648,1.399423849582672,-0.0056444801390171054,2.429217427968979
1360,653280,197,-9.03767155,1.3993115782737733,-0.0021577971056103706,3.9160861492156984
1380,662880,197,-9.068828010000002,1.3997517466545104,0.0008040519431233406,5.4368250370025635
1400,672480,197,-9.252090110000001,1.399165427684784,0.005165174975991249,5.688432669639587
1420,682080,196,-10.668962479999998,1.3991540193557739,0.003304770216345787,3.7547157287597654
1440,691680,196,-8.343087890000001,1.3986454844474792,0.0016820136457681655,2.412188768386841
1460,701280,196,-7.4321989,1.3981590151786805,-0.0033123543485999106,8.081309047341346
1480,710880,196,-10.30468767,1.3984760403633119,-0.0077904343605041506,2.9219332844018937
1500,720480,196,-11.140865430000002,1.399012517929077,0.0008108781650662423,5.636360409855842
1520,730080,196,-8.25670174,1.3993828296661377,-0.002570667862892151,2.9256812155246736
1540,739680,196,-7.129320069999999,1.4006109356880188,0.0031741298735141754,2.1778158739209177
1560,749280,196,-7.875261989999999,1.4004473447799684,0.009446123801171779,10.699435567855835
1580,758880,196,-9.153110779999999,1.3994149208068847,-0.008559134602546693,6.981540083885193
1600,768480,196,-10.635738860000002,1.3989102959632873,-0.0020144473761320113,4.93416154384613
1620,778080,196,-10.064871019999998,1.398529326915741,0.007238183240406215,3.7416826874017715
1640,787680,196,-9.925968769999999,1.39859881401062,-0.0013886570930480957,1.478316715359688
1660,797280,196,-9.10606825,1.396576750278473,0.0007752209901809692,1.4027828097343444
1680,806880,196,-10.5343808,1.39539977312088,-0.0026139266788959502,3.4989926517009735
1700,816480,196,-8.56334362,1.3947807788848876,-0.002594839408993721,7.9170109033584595
1720,826080,196,-10.15277327,1.3941883802413941,-0.006195833440870047,4.782042372226715
1740,835680,196,-10.304664750000002,1.3942688584327698,-0.0034955453127622606,1.414271318912506
1760,845280,196,-10.510494580000001,1.3935919761657716,0.00030145421624183655,5.298411071300507
1780,854880,196,-7.876077929999999,1.393606960773468,-0.00016243613790720702,4.785160744190216
1800,864480,196,-9.398917280000001,1.3933167815208436,-3.7132948637008664e-05,3.0013306856155397
1820,874080,196,-8.32616701,1.3919468522071838,0.005819334834814072,6.6282248258590695
1840,883680,196,-8.361384410000001,1.3899165630340575,-0.003826230950653553,4.576325184106826
1860,893280,196,-8.614439249999998,1.3890130519866943,-0.0031516844406723975,3.8018006324768066
1880,902880,196,-6.87051372,1.3877231240272523,0.0002606632187962532,5.186706185340881
1900,912480,196,-4.4114112599999995,1.3862664580345154,-0.006891577236820013,2.539733922481537
1920,922080,196,-4.247076549999999,1.3854554176330567,0.005021133762784302,2.517729949951172
1940,931680,196,-4.19775544,1.3849619269371032,-0.006782252504490316,4.51084052324295
1960,941280,196,-3.4731599600000003,1.3844882130622864,-0.006173637602478266,2.067035496234894
1980,950880,196,-4.0104891,1.3847516775131226,-0.011644342774525284,2.7730410277843474
