misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,10080,142,-18.95149789,1.419123351573944,-0.00023955907672643662,44.970718955993654
40,19680,142,-19.199035719999998,1.418630850315094,-0.00016359034925699233,25.136368179321288
60,29280,142,-19.24567628,1.418196189403534,0.001663265866227448,13.955346488952637
80,38880,141,-17.77504524,1.4180718779563903,-0.0029900047928094866,13.11853904724121
100,48480,142,-16.18252323,1.4174564957618714,-0.0007183866575360299,9.375535821914672
120,58080,141,-15.82542474,1.4173359394073486,-0.0036593470722436905,4.843920588493347
140,67680,141,-14.659245890000001,1.4172606468200684,-0.00011986866593360901,3.432389521598816
160,77280,141,-15.605580499999997,1.4167007803916931,-0.0007470790296792984,4.2382579267025
180,86880,139,-14.44994743,1.4165452241897583,-0.0010906800627708435,1.9078950941562653
200,96480,141,-14.005836450000002,1.4159790635108949,-0.0007628953084349632,7.308513450622558
220,106080,140,-12.80864628,1.4159372091293334,-0.002176256291568279,11.635050106048585
240,115680,141,-12.585435489999998,1.4153356432914734,-0.0021553299389779567,4.468937849998474
260,125280,141,-11.969789139999998,1.4150442719459533,-0.0054537678137421605,2.7763488054275514
280,134880,141,-12.951630839999996,1.4137370109558105,-0.004049723036587238,6.270034885406494
300,144480,141,-11.44639333,1.4129294395446776,-0.001763443648815155,3.2964255303144454
320,154080,142,-11.140568570000001,1.4127087950706483,-0.002629737593815662,4.892617583274841
340,163680,142,-12.65257053,1.4123283863067626,0.011154940724372864,8.002902662754058
360,173280,143,-12.50793918,1.413018774986267,-0.0015220306813716888,2.8323670864105224
380,182880,143,-9.258486669999998,1.4122892618179321,0.006836523720994592,12.671672809123994
400,192480,143,-13.581673809999998,1.4119564652442933,0.002538790926337242,9.95703673362732
420,202080,143,-12.31558114,1.41173357963562,-0.0025320995831862093,9.98954609632492
440,211680,143,-12.79694859,1.4116394639015197,-0.003572666086256504,13.042514228820801
460,221280,143,-12.125490430000003,1.4109173178672791,0.0051775328814983364,9.118472266197205
480,230880,143,-13.638658809999999,1.4103763580322266,-0.00579148605465889,5.731932210922241
500,240480,143,-11.736325360000002,1.4093475103378297,0.0003430414944887161,16.99055681228638
520,250080,142,-12.904999900000002,1.4082801580429076,0.0004836315289139748,3.5555230379104614
540,259680,143,-14.49929117,1.407999587059021,-0.005119201948400587,4.968356144428253
560,269280,143,-14.06129338,1.4068509340286255,-0.0038687397725880148,5.523768949508667
580,278880,143,-15.572240829999998,1.4063145995140076,-0.005267409235239029,2.6010329484939576
600,288480,143,-13.028872549999999,1.405263316631317,-0.0031176559627056123,5.58232215642929
620,298080,143,-13.318894379999996,1.405137050151825,0.0005688157863914967,2.6781744360923767
640,307680,143,-12.539725129999999,1.405163872241974,0.004191338643431663,8.188868808746339
660,317280,143,-12.325387229999999,1.4047881007194518,-0.003796001709997654,2.1828179597854613
680,326880,143,-13.962950440000002,1.4037208080291748,-0.0019364646170288325,8.403658604621887
